Year ,HDD
1895,3964
1896,4327
1897,4078
1898,4292
1899,3481
1900,3885
1901,3804
1902,4129
1903,4110
1904,3647
1905,3893
1906,4318
1907,3880
1908,4196
1909,4278
1910,4098
1911,4042
1912,4278
1913,3753
1914,3874
1915,4434
1916,4521
1917,3716
1918,3951
1919,4236
1920,3840
1921,4471
1922,4347
1923,3829
1924,4017
1925,3537
1926,3941
1927,4004
1928,4431
1929,4239
1930,3787
1931,4214
1932,4197
1933,3359
1934,3847
1935,4314
1936,4377
1937,3795
1938,3976
1939,3424
1940,3605
1941,3882
1942,4196
1943,3997
1944,3935
1945,3967
1946,4046
1947,4088
1948,4650
1949,4436
1950,4037
1951,4272
1952,3784
1953,3927
1954,4063
1955,4526
1956,4375
1957,3585
1958,3900
1959,4116
1960,3757
1961,4170
1962,3825
1963,3881
1964,4153
1965,3823
1966,3679
1967,3704
1968,4363
1969,3749
1970,4120
1971,4150
1972,4029
1973,3975
1974,3971
1975,3987
1976,3874
1977,3781
1978,4428
1979,4025
1980,3465
1981,3928
1982,3665
1983,3842
1984,4371
1985,4158
1986,3709
1987,3807
1988,4091
1989,3704
1990,3992
1991,3370
1992,4168
1993,3817
1994,3806
1995,3778
1996,3992
1997,3548
1998,3752
1999,3700
2000,3986
2001,3856
2002,3490
2003,3805
2004,3611
2005,3828
2006,3844
2007,4039
2008,4087
2009,3639
2010,3967
2011,4037
2012,3811
2013,3971
2014,3352
2015,3609
2016,4053
2017,3849
2018,3933
2019,3748
2020,3792
2021,3845
2022,4150
,
,
,
